x,y,z,radial,toroidal angle
0.492982827,-0.025836135,-1.46705503,0.49365937,-0.052359878
0.492922082,-0.027450749,-1.467028546,0.493685854,-0.05563237
0.492856049,-0.029065242,-1.467002061,0.493712339,-0.058904862
0.49278473,-0.030679597,-1.466975574,0.493738825,-0.062177355
0.492708124,-0.032293797,-1.466949086,0.493765314,-0.065449847
0.492626232,-0.033907823,-1.466922597,0.493791803,-0.068722339
0.492539053,-0.03552166,-1.466896106,0.493818294,-0.071994832
0.492446589,-0.037135289,-1.466869614,0.493844786,-0.075267324
0.49234884,-0.038748694,-1.46684312,0.49387128,-0.078539816
0.492245805,-0.040361857,-1.466816625,0.493897775,-0.081812309
0.492137487,-0.04197476,-1.466790128,0.493924272,-0.085084801
0.492023884,-0.043587387,-1.46676363,0.49395077,-0.088357293
0.491904999,-0.04519972,-1.466737131,0.493977269,-0.091629786
0.491780831,-0.046811741,-1.46671063,0.49400377,-0.094902278
0.491651382,-0.048423435,-1.466684128,0.494030272,-0.09817477
0.491516651,-0.050034782,-1.466657624,0.494056776,-0.101447263
0.491376641,-0.051645766,-1.466631119,0.494083281,-0.104719755
0.491231352,-0.05325637,-1.466604612,0.494109788,-0.107992247
0.491080785,-0.054866576,-1.466578104,0.494136296,-0.11126474
0.490924941,-0.056476367,-1.466551595,0.494162805,-0.114537232
0.490763821,-0.058085726,-1.466525084,0.494189316,-0.117809725
0.490597427,-0.059694635,-1.466498572,0.494215828,-0.121082217
0.490425759,-0.061303078,-1.466472058,0.494242342,-0.124354709
0.490248819,-0.062911036,-1.466445543,0.494268857,-0.127627202
0.490066608,-0.064518493,-1.466419027,0.494295373,-0.130899694
0.489879128,-0.066125431,-1.466392509,0.494321891,-0.134172186
0.489686379,-0.067731833,-1.466365989,0.494348411,-0.137444679
0.489488364,-0.069337682,-1.466339469,0.494374931,-0.140717171
0.489285084,-0.070942961,-1.466312946,0.494401454,-0.143989663
0.489076541,-0.072547652,-1.466286423,0.494427977,-0.147262156
0.488862736,-0.074151737,-1.466259898,0.494454502,-0.150534648
0.488643671,-0.075755201,-1.466233371,0.494481029,-0.15380714
0.488419348,-0.077358025,-1.466206843,0.494507557,-0.157079633
0.488189769,-0.078960192,-1.466180314,0.494534086,-0.160352125
0.487954935,-0.080561686,-1.466153783,0.494560617,-0.163624617
0.487714848,-0.082162488,-1.466127251,0.494587149,-0.16689711
0.487469512,-0.083762582,-1.466100718,0.494613682,-0.170169602
0.487218926,-0.08536195,-1.466074183,0.494640217,-0.173442094
0.486963095,-0.086960575,-1.466047646,0.494666754,-0.176714587
0.486702019,-0.08855844,-1.466021108,0.494693292,-0.179987079
0.486435702,-0.090155528,-1.465994569,0.494719831,-0.183259571
0.486164145,-0.091751822,-1.465968028,0.494746372,-0.186532064
0.48588735,-0.093347304,-1.465941486,0.494772914,-0.189804556
0.485605321,-0.094941957,-1.465914943,0.494799457,-0.193077049
0.485318059,-0.096535764,-1.465888398,0.494826002,-0.196349541
0.485025568,-0.098128708,-1.465861851,0.494852549,-0.199622033
0.484727849,-0.099720772,-1.465835304,0.494879096,-0.202894526
0.484424906,-0.101311938,-1.465808754,0.494905646,-0.206167018
0.48411674,-0.10290219,-1.465782204,0.494932196,-0.20943951
0.483803356,-0.10449151,-1.465755652,0.494958748,-0.212712003
0.483484755,-0.106079881,-1.465729098,0.494985302,-0.215984495
0.48316094,-0.107667286,-1.465702543,0.495011857,-0.219256987
0.482831915,-0.109253708,-1.465675987,0.495038413,-0.22252948
0.482497681,-0.11083913,-1.465649429,0.495064971,-0.225801972
0.482158244,-0.112423535,-1.46562287,0.49509153,-0.229074464
0.481813604,-0.114006905,-1.465596309,0.495118091,-0.232346957
0.481463766,-0.115589224,-1.465569747,0.495144653,-0.235619449
0.481108733,-0.117170474,-1.465543184,0.495171216,-0.238891941
0.480748508,-0.118750639,-1.465516619,0.495197781,-0.242164434
0.480383094,-0.120329701,-1.465490053,0.495224347,-0.245436926
0.480012495,-0.121907644,-1.465463485,0.495250915,-0.248709418
0.479636714,-0.12348445,-1.465436916,0.495277484,-0.251981911
0.479255754,-0.125060102,-1.465410345,0.495304055,-0.255254403
0.478869619,-0.126634584,-1.465383773,0.495330627,-0.258526895
0.478478313,-0.128207878,-1.4653572,0.4953572,-0.261799388
0.478081839,-0.129779967,-1.465330625,0.495383775,-0.26507188
0.477680201,-0.131350835,-1.465304049,0.495410351,-0.268344372
0.477273402,-0.132920464,-1.465277471,0.495436929,-0.271616865
0.476861448,-0.134488838,-1.465250892,0.495463508,-0.274889357
0.47644434,-0.136055939,-1.465224312,0.495490088,-0.27816185
0.476022084,-0.137621751,-1.46519773,0.49551667,-0.281434342
0.475594683,-0.139186256,-1.465171146,0.495543254,-0.284706834
0.475162141,-0.140749439,-1.465144562,0.495569838,-0.287979327
0.500206512,0.013098369,-1.475044021,0.500377979,0.026179939
0.500273142,0.011461985,-1.47501757,0.50040443,0.022907446
0.500334419,0.009825306,-1.474991118,0.500430882,0.019634954
0.500390343,0.008188349,-1.474964665,0.500457335,0.016362462
0.500440913,0.00655113,-1.47493821,0.50048379,0.013089969
0.500486126,0.004913669,-1.474911754,0.500510247,0.009817477
0.500525984,0.003275982,-1.474885296,0.500536704,0.006544985
0.500560483,0.001638086,-1.474858837,0.500563163,0.003272492
0.500589624,0,-1.474832376,0.500589624,0
0.500613405,-0.001638259,-1.474805915,0.500616085,-0.003272492
0.500631826,-0.003276674,-1.474779451,0.500642549,-0.006544985
0.500644886,-0.004915228,-1.474752987,0.500669013,-0.009817477
0.500652584,-0.006553901,-1.474726521,0.500695479,-0.013089969
0.500654919,-0.008192678,-1.474700053,0.500721947,-0.016362462
0.500651892,-0.00983154,-1.474673584,0.500748416,-0.019634954
0.500643501,-0.011470471,-1.474647114,0.500774886,-0.022907446
0.500629745,-0.013109451,-1.474620642,0.500801358,-0.026179939
0.500610626,-0.014748465,-1.474594169,0.500827831,-0.029452431
0.500586141,-0.016387493,-1.474567695,0.500854305,-0.032724923
0.500556292,-0.01802652,-1.474541219,0.500880781,-0.035997416
0.500521077,-0.019665527,-1.474514742,0.500907258,-0.039269908
0.500480496,-0.021304496,-1.474488263,0.500933737,-0.042542401
0.50043455,-0.02294341,-1.474461783,0.500960217,-0.045814893
0.500383238,-0.024582252,-1.474435302,0.500986698,-0.049087385
0.50032656,-0.026221004,-1.474408819,0.501013181,-0.052359878
0.500264517,-0.027859648,-1.474382334,0.501039666,-0.05563237
0.500197107,-0.029498167,-1.474355849,0.501066151,-0.058904862
0.500124332,-0.031136543,-1.474329362,0.501092638,-0.062177355
0.500046192,-0.032774759,-1.474302873,0.501119127,-0.065449847
0.499962687,-0.034412797,-1.474276383,0.501145617,-0.068722339
0.499873817,-0.036050639,-1.474249892,0.501172108,-0.071994832
0.499779583,-0.037688269,-1.474223399,0.501198601,-0.075267324
0.499679985,-0.039325668,-1.474196905,0.501225095,-0.078539816
0.499575024,-0.040962818,-1.47417041,0.50125159,-0.081812309
0.499464699,-0.042599703,-1.474143913,0.501278087,-0.085084801
0.499349013,-0.044236305,-1.474117415,0.501304585,-0.088357293
0.499227965,-0.045872606,-1.474090915,0.501331085,-0.091629786
0.499101556,-0.047508588,-1.474064414,0.501357586,-0.094902278
0.498969787,-0.049144235,-1.474037911,0.501384089,-0.09817477
0.498832659,-0.050779527,-1.474011408,0.501410592,-0.101447263
0.498690173,-0.052414449,-1.473984902,0.501437098,-0.104719755
0.498542329,-0.054048982,-1.473958396,0.501463604,-0.107992247
0.498389129,-0.055683109,-1.473931888,0.501490113,-0.11126474
